aluno_anon,opcao,unidade,situacao,data_criacao
aluno_0140954,2,0430815,Selecionado da lista,2024-12-18 14:06:51.46
aluno_0141127,3,10074,Selecionado,2024-12-16 14:51:42.483
aluno_0141259,4,07034,Selecionado da lista,2024-12-11 09:25:19.303
aluno_0141270,1,08016,Selecionado da lista,2024-12-16 16:45:35.673
aluno_0141271,1,08016,Selecionado da lista,2024-12-16 16:45:32.64
aluno_0142086,2,10074,Selecionado,2024-12-13 09:13:05.28
aluno_0142199,1,07042,Selecionado da lista,2024-12-16 08:23:18.027
aluno_0142235,1,0430815,Selecionado da lista,2024-12-18 14:07:47.423
aluno_0142604,1,10074,Selecionado,2024-12-17 09:22:43.12
aluno_0143284,2,02011,Selecionado,2024-12-13 09:06:06.8
aluno_0143804,5,04041,Selecionado,2024-12-16 14:11:07.517
aluno_0145006,4,04041,Selecionado,2024-12-13 09:12:52.48
aluno_0145345,1,09028,Selecionado da lista,2024-12-19 08:56:51.883
aluno_0146432,3,0430805,Selecionado da lista,2024-12-13 09:08:57.053
aluno_0146536,2,0312801,Selecionado da lista,2024-12-16 22:27:44.927
aluno_0146695,1,10036,Selecionado da lista,2024-12-17 08:33:16.94
aluno_0147334,2,09032,Selecionado,2024-12-16 23:23:21.943
aluno_0157559,3,04009,Selecionado,2024-12-16 23:04:20.757
